weapon,weapon_uuid,skin,skin_uuid,theme_uuid,content_tier_uuid
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Altitude Odin,89be9866-4807-6235-2a95-499cd23828df,537e0587-416c-f8f3-965c-bba3508156d7,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Xenohunter Odin,94c085e6-48e1-c879-2552-88bf7850c5a8,c251784d-40c3-0d8e-85f4-9da6ff3bc073,60bca009-4182-7998-dee7-b8a2558dc369
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Neptune Odin,a67c2daa-4f4d-1af0-0ff4-6fafde471776,292ef4b1-43d5-358c-32e5-04805a154acd,60bca009-4182-7998-dee7-b8a2558dc369
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Heartbreaker Odin,d6586a38-4bf4-1c35-22c9-029aee5942bb,ec9cdaae-4126-8d7a-dbe8-118ba255909e,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Tactiplay Odin,e02d6b2c-4e2e-a5f1-6bb8-38ac74485d7e,ba0640f1-41f0-849b-b16a-baaf7607b9b2,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Rune Stone Odin,abef8114-4495-6da7-2ade-02bd0f014fd3,65d8e156-4e4c-f9de-844f-3fa05a9624e4,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Comet Odin,ba2592f7-45c8-8d25-1442-83971f3d95dd,91640e14-4efe-e150-7b14-31a021012b3a,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Doom Wing Odin,729f0ef1-4c70-dc39-3fe0-9d887a320070,0b75a3c6-424e-3477-be55-eb9eed827501,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Doombringer Odin,fcba924d-41f6-7a92-f904-13b0fcbc2bdd,079316d7-49f2-01be-56ef-04bce1a50dc5,e046854e-406c-37f4-6607-19a9ba8426fc
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Glitchpop Odin,97af88e4-4176-9fa3-4a26-57919443dab7,5b014f36-414b-4703-9c65-1876c630feaa,e046854e-406c-37f4-6607-19a9ba8426fc
